Plug_ID,Species,Treatment,Timepoint,Sample_Date,ColorScore,PhotoTP,PhotoDate,Notes
1754,Mcapitata,HTAC,10,20181117,12.90908996,Time8,20181116,
1755,Pacuta,ATAC,8,20181020,5.27120156,Time4,20181018,
1757,Pacuta,ATAC,5,20180923,NA,NA,NA,Sampled prior to photos taken
1762,Pacuta,ATAC,4,20180922,NA,NA,NA,Sampled prior to photos taken
1765,Pacuta,HTAC,8,20181020,-6.36601880,Time4,20181018,
1767,Pacuta,HTAC,4,20180922,NA,NA,NA,Sampled prior to photos taken
1775,Pacuta,ATAC,1,20180922,NA,NA,NA,Sampled prior to photos taken
1776,Mcapitata,ATAC,5,20180923,NA,NA,NA,Sampled prior to photos taken
1777,Pacuta,ATAC,11,20181215,15.66285412,Time12,20181214,
1779,Mcapitata,ATAC,8,20181020,14.59362697,Time4,20181018,
1820,Pacuta,HTHC,7,20181006,4.44829775,Time2,20181005,
1826,Mcapitata,ATHC,1,20180922,NA,NA,NA,Sampled prior to photos taken
1997,Mcapitata,HTAC,5,20180923,NA,NA,NA,Sampled prior to photos taken
2000,Mcapitata,HTAC,4,20180922,NA,NA,NA,Sampled prior to photos taken
2002,Pacuta,ATAC,4,20180922,NA,NA,NA,Sampled prior to photos taken
2005,Pacuta,HTAC,1,20180922,NA,NA,NA,Sampled prior to photos taken
2007,Mcapitata,HTAC,12,20190112,8.61745479,Time16,20190111,
2009,Mcapitata,HTHC,9,20181103,14.99217428,Time6,20181102,
2012,Pacuta,ATAC,8,20181020,-9.08680745,Time4,20181018,
2016,Mcapitata,ATHC,6,20180929,NA,NA,NA,Sampled prior to photos taken
2021,Mcapitata,HTAC,3,20180922,NA,NA,NA,Sampled prior to photos taken
2026,Pacuta,HTAC,3,20180922,NA,NA,NA,Sampled prior to photos taken
2064,Pacuta,HTAC,10,20181117,-17.75882655,Time8,20181116,
2067,Mcapitata,HTHC,8,20181020,14.91348892,Time4,20181018,
2068,Mcapitata,ATHC,1,20180922,NA,NA,NA,Sampled prior to photos taken
2072,Pacuta,HTAC,7,20181006,5.41355958,Time2,20181003,
2081,Mcapitata,HTHC,1,20180922,NA,NA,NA,Sampled prior to photos taken
2087,Pacuta,HTHC,5,20180923,NA,NA,NA,Sampled prior to photos taken
2153,Mcapitata,HTAC,3,20180922,NA,NA,NA,Sampled prior to photos taken
2183,Mcapitata,HTAC,1,20180922,NA,NA,NA,Sampled prior to photos taken
2185,Pacuta,HTHC,11,20181215,-76.17471813,Time12,20181214,
2188,Mcapitata,ATHC,11,20181215,11.82896568,Time12,20181214,
2190,Mcapitata,HTHC,12,20190112,12.82935835,Time16,20190111,
2195,Pacuta,HTHC,4,20180922,NA,NA,NA,Sampled prior to photos taken
2197,Pacuta,ATHC,10,20181117,3.43846494,Time7,20181109,
2202,Pacuta,HTHC,9,20181103,-37.37854864,Time6,20181102,
2204,Mcapitata,HTHC,4,20180922,NA,NA,NA,Sampled prior to photos taken
2210,Pacuta,HTHC,1,20180922,NA,NA,NA,Sampled prior to photos taken
2212,Pacuta,ATHC,5,20180923,NA,NA,NA,Sampled prior to photos taken
2300,Pacuta,HTHC,10,20181117,-67.00091519,Time8,20181116,
2302,Mcapitata,ATAC,11,20181215,15.15169664,Time12,20181214,
2304,Pacuta,HTHC,8,20181020,-9.93921847,Time4,20181018,
2305,Pacuta,HTHC,9,20181103,0.41607348,Time6,20181102,
